GeoType,GEOID,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,president,presidentOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,citizens,citizensOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,priority,priorityOppose
County,16025,"Camas County, Idaho",777,61.121,24.337,46.843,35.686,49.321,31.189,52.633,10.418,53.412,46.461,62.538,27.614,60.926,28.764,58.429,29.733,54.959,36.108,36.694,54.719,48.701,51.299,35.305,64.606,69.485,28.396,64.087,34.354,53.297,46.969,50.252,47.679,53.864,44.963,72.012,25.751,31.306,65.736,50.648,47.109,67.7,32.671,61.475,13.588,39.586,39.767,49.269,33.551,45.373,24.067,46.575,22.649,55.765,15.462,30.453,69.393,33.615,65.896,42.868,36.857
County,16027,"Canyon County, Idaho",154841,60.603,26.772,47.205,35.341,48.781,29.215,54.608,9.079,56.596,43.396,62.889,29.851,60.048,32.594,61.026,28.82,58.129,35.081,40.402,52.071,51.651,48.349,39.087,60.737,71.995,26.275,64.05,34.298,59.204,40.934,55.53,42.582,56.935,42.361,71.267,26.61,29.789,67.542,49.467,48.522,71.062,29.247,60.522,14.009,40.872,39.35,48.105,34.196,47.215,22.144,50.089,20.68,55.403,14.526,31.975,67.919,33.372,65.96,44.964,37.045
County,16029,"Caribou County, Idaho",4915,61.134,25.259,45.335,36.54,47.474,31.476,52.305,10.016,52.223,47.645,62.81,28.52,60.039,31.721,59.254,30.279,57.387,35.644,38.666,55.126,49.258,50.742,36.852,63.062,70.294,28.699,62.034,36.832,53.292,47.459,48.353,50.424,53.69,45.943,70.228,28.182,32.205,65.149,54.218,43.612,67.284,33.577,62.39,13.794,39.454,39.447,48.596,34.484,42.417,25.019,46.026,22.293,58.039,15.063,32.669,67.103,37.139,62.949,40.486,40.724
County,16031,"Cassia County, Idaho",16086,61.582,24.418,46.007,37.234,43.655,33.156,52.109,10.183,53.533,46.248,62.187,27.856,59.736,30.128,59.192,28.863,57.19,33.961,39.931,51.857,49.493,50.507,35.934,63.906,69.941,28.714,61.826,36.501,52.901,47.368,49.789,48.554,53.982,45.451,70.359,27.665,34.419,62.827,54.499,43.03,67.567,32.985,61.382,14.624,39.233,39.628,49.041,33.429,43.942,25.546,47.807,22.711,56.955,16.121,29.931,69.857,31.562,67.952,42.233,38.076
County,16033,"Clark County, Idaho",648,57.133,23.655,45.993,36.249,40.919,28.706,48.062,9.582,54.924,44.953,61.221,26.592,59.013,28.701,59.944,25.938,58.411,30.151,42.328,46.439,49.898,50.102,38.133,61.666,65.195,33.033,59.272,38.715,48.76,50.808,48.063,50.037,50.411,47.925,67.038,30.761,35.751,61.423,55.633,41.084,66.764,34.092,59.543,14.547,39.542,38.488,47.22,33.052,43.046,25.292,47.181,22.923,55.124,16.388,29.422,70.322,27.249,72.171,44.115,35.778
County,16035,"Clearwater County, Idaho",7276,63.127,23.82,46.362,36.496,48.517,31.638,54.213,10.044,53.845,45.983,63.281,27.582,60.976,29.804,59.769,29.303,57.12,35.116,38.632,54.332,50.102,49.898,36.826,63.036,71.403,27.255,63.325,35.291,55.676,44.845,50.603,47.806,55.72,43.706,71.617,26.583,32.254,65.019,51.925,45.998,68.459,32.045,62.515,13.894,40.277,38.951,50.202,33.18,44.155,24.652,47.102,22.428,57.628,15.254,32.009,67.764,35.67,63.985,41.718,37.926
County,16037,"Custer County, Idaho",3496,67.118,20.598,50.859,31.981,54.594,26.887,58.012,8.627,58.083,41.777,67.94,23.873,64.801,27.507,64.38,26.078,62.649,31.381,43.16,52.23,54.689,45.311,41.841,58.019,73.684,25.277,65.504,33.303,60.794,40.06,53.413,45.487,57.983,41.798,72.457,26.025,27.981,69.529,49.03,48.959,72.298,28.503,66.468,12.152,44.358,34.366,53.816,30.044,46.091,21.542,49.757,19.74,62.882,12.647,37.473,62.256,41.162,59.09,45.988,35.924
County,16039,"Elmore County, Idaho",20030,65.777,20.833,50.128,33.258,53.011,28.724,55.876,9.467,57.882,41.992,66.36,24.087,64.673,25.275,62.479,26.882,59.363,32.227,40.878,51.27,52.007,47.993,39.007,60.837,71.417,26.284,65.17,33.051,56.741,43.482,53.834,44.039,56.035,42.687,73.275,24.349,29.151,68.012,47.516,50.068,71.03,29.25,63.521,12.82,42.42,36.457,52.387,30.241,48.649,22.069,50.066,21.143,58.944,14.357,33.283,66.535,34.469,65.006,47.007,32.245
County,16041,"Franklin County, Idaho",9087,57.898,28.103,42.133,40.135,41.923,35.606,49.415,11.163,48.411,51.415,58.76,31.847,56.312,34.292,55.188,33.057,53.328,38.295,35.621,56.428,45.95,54.05,32.929,66.912,68.797,30.191,59.961,38.76,49.822,50.718,46.669,51.856,52.37,47.351,69.196,29.072,36.018,61.228,57.891,39.928,64.563,36.044,58.861,15.585,35.887,43.283,45.237,37.207,40.469,27.832,44.339,24.338,54.195,17.344,28.341,71.464,32.316,67.27,37.229,43.237
County,16043,"Fremont County, Idaho",9590,61.048,25.243,45.704,36.803,46.819,32.495,52.182,10.51,52.387,47.444,61.826,28.818,59.615,31.011,58.439,30.423,55.872,36.074,37.785,54.642,48.537,51.463,35.549,64.305,69.738,28.828,61.923,36.667,52.955,47.526,48.883,49.516,53.948,45.399,70.502,27.586,33.246,63.986,53.454,44.343,67.062,33.471,60.962,14.462,38.54,40.784,48.189,34.723,43.386,25.602,46.326,23.131,56.234,16.031,30.893,68.907,34.117,65.502,41.195,39.337
County,16045,"Gem County, Idaho",13314,61.08,25.305,46.207,36.954,45.66,32.759,52.853,10.069,52.339,47.51,62.326,28.152,59.755,30.616,58.974,29.24,56.962,34.601,38.022,54.618,49.463,50.537,35.665,64.154,70.711,28.316,62.768,35.847,55.134,45.342,50.413,48.04,55.727,43.904,71.146,27.207,33.739,63.627,55.158,42.669,68.003,32.576,62.162,14.249,39.175,39.132,49.664,33.417,43.549,25.25,47.207,22.446,57.615,15.538,30.705,69.092,33.824,65.712,40.946,40.129
County,16047,"Gooding County, Idaho",10984,61.965,23.16,46.818,36.574,44.846,31.126,53.177,9.644,54.74,45.078,62.656,27.005,60.082,29.258,59.851,27.661,58.091,32.558,40.715,50.634,50.601,49.399,37.031,62.739,70.517,28.118,62.704,35.537,55.045,45.081,51.758,46.472,55.438,43.904,70.741,27.306,33.859,63.417,54.332,43.066,69.193,31.323,61.823,14.222,40.287,38.04,49.615,32.248,44.497,24.571,48.637,22.089,57.531,15.474,30.358,69.402,31.226,68.163,43.21,37.032
County,16049,"Idaho County, Idaho",13193,63.607,23.329,47.437,34.897,49.834,29.851,54.58,9.497,54.186,45.653,64.519,26.744,61.483,30.218,60.911,28.724,59.26,33.959,40.237,53.975,51.353,48.647,38.233,61.589,71.715,27.269,63.355,35.448,56.587,44.261,50.833,47.97,55.602,44.134,70.987,27.449,30.72,66.663,52.307,45.608,69.373,31.35,63.67,13.38,41.196,37.614,50.575,32.682,43.806,23.651,47.443,21.289,59.688,14.19,33.75,65.986,38.198,61.847,42.557,38.74
County,16051,"Jefferson County, Idaho",18896,61.693,25.651,45.374,37.044,46.069,33.046,52.798,10.461,51.995,47.817,62.233,29.209,59.694,32.004,58.256,30.775,56.7,36.204,38.345,55.167,48.882,51.118,35.961,63.943,70.521,28.485,61.401,37.39,53.046,47.678,47.514,51.241,53.935,45.805,70.263,28.119,33.458,63.911,54.893,43.018,67.159,33.554,61.75,14.492,38.605,40.929,48.468,35.208,42.579,26.115,45.972,23.13,57.367,15.913,32.119,67.659,35.87,63.958,40.564,40.744
County,16053,"Jerome County, Idaho",16420,64.256,21.128,49.711,34.145,47.973,29.164,55.158,9.2,57.867,41.935,64.955,24.547,62.61,26.472,62.105,25.66,59.832,30.753,42.609,48.661,52.559,47.441,38.598,61.151,70.989,27.145,64.37,33.635,57.41,42.585,53.942,44.095,56.791,42.089,71.818,25.94,31.769,65.43,50.712,46.589,71.006,29.362,63.231,13.475,42.442,36.078,51.96,30.156,47.304,22.774,50.609,21.033,58.907,14.639,31.627,68.136,31.287,68.055,46.666,33.507
County,16055,"Kootenai County, Idaho",121138,63.911,24.457,46.808,36.835,49.812,32.536,55.827,9.935,55.487,44.364,65.136,26.676,60.753,30.888,60.07,28.815,57.075,35.333,38.469,54.656,50.375,49.625,37.563,62.478,73.162,25.158,65.375,33.229,56.22,44.086,54.122,43.992,58.034,41.735,73.474,24.9,32.243,65.812,52.507,45.779,69.933,30.571,65.427,13.302,42.632,38.118,52.798,32.463,45.752,24.582,48.196,22.105,60.064,14.855,32.675,67.128,34.281,65.087,45.024,37.169
County,16057,"Latah County, Idaho",32126,75.65,14.463,59.437,26.363,66.541,22.469,67.659,7.174,67.639,32.273,74.461,18.547,72.325,20.365,71.426,20.644,67.715,27.04,47.481,49.054,61.427,38.573,48.748,51.293,79.556,18.928,72.355,26.184,70.475,29.915,61.477,36.018,65.724,33.86,78.67,19.707,23.532,74.217,40.466,57.804,79.111,21.306,72.855,9.623,51.891,27.624,62.627,23.646,54.728,17.098,56.308,16.823,68.686,9.988,43.726,56.122,45.582,54.195,55.684,27.24
County,16059,"Lemhi County, Idaho",6356,64.345,22.919,47.546,35.242,50.309,30.405,55.634,9.484,54.787,45.078,64.615,26.928,61.84,29.86,61.098,28.609,59.011,34.191,39.798,54.397,51.459,48.54,38.479,61.419,72.907,26.114,64.071,34.701,57.455,43.227,51.534,47.141,56.883,42.999,72.123,26.345,31.077,66.43,52.402,45.577,70.011,30.695,64.241,13.179,41.378,37.263,51.03,32.396,44.288,23.763,48.066,21.348,60.026,14.135,34.109,65.675,38.26,61.6,42.584,38.599
County,16061,"Lewis County, Idaho",2971,62.433,24.151,45.44,37.135,46.421,32.352,53.663,9.841,52.88,47.005,62.238,29.028,59.552,31.633,59.126,30.078,57.142,35.31,38.848,54.19,49.587,50.413,36.831,62.995,71.611,27.288,62.791,35.886,54.74,45.764,50.507,47.979,55.788,43.848,71.361,26.951,32.714,64.634,54.492,43.346,68.131,32.476,61.848,13.991,39.144,38.885,48.535,33.382,42.978,24.943,47.128,22.192,57.512,15.212,31.69,68.097,34.201,65.407,40.709,40.356
County,16063,"Lincoln County, Idaho",3766,65.202,20.687,50.373,33.009,49.926,27.527,55.794,8.792,58.32,41.486,66.37,23.701,63.461,26.596,63.324,25.19,61.72,29.944,44.066,48.552,53.908,46.092,40.111,59.628,71.309,27.102,64.492,33.724,58.607,41.78,53.882,44.532,56.654,42.417,71.152,26.838,30.28,66.976,50.024,47.385,71.854,28.712,64.375,13.038,43.723,35.006,52.834,29.749,47.094,22.037,50.584,20.387,60.68,13.801,33.697,66.034,34.601,65.116,47.267,33.662
County,16065,"Madison County, Idaho",28420,63.121,23.203,46.559,35.211,50.471,31.403,55.497,9.761,54.552,45.287,64.948,27.705,62.158,30.956,61.575,29.664,59.219,35.286,39.634,55.855,50.449,49.551,38.636,61.341,72.257,26.857,63.057,35.911,56.028,44.926,49.627,49.252,56,43.904,71.033,27.492,30.878,66.666,51.988,46.126,69.108,31.684,64.13,13.629,40.189,39.676,49.685,35.078,44.249,24.535,47.495,21.865,60.19,14.615,35.618,64.177,40.211,59.9,41.352,41.035
County,16067,"Minidoka County, Idaho",14797,60.963,23.802,46.084,37.452,42.747,32.395,52.167,9.881,54.315,45.486,61.863,27.484,59.47,29.422,59.246,27.945,57.369,32.816,40.562,50.173,49.697,50.303,36.111,63.66,69.759,28.696,61.979,36.074,53.481,46.473,51.313,46.803,54.851,44.26,70.423,27.428,35.011,62.221,55.251,41.98,68.342,32.126,61.035,14.626,39.478,38.861,48.824,32.742,44.423,25.165,48.68,22.443,56.695,16.111,29.286,70.488,29.202,70.075,42.683,37.035
County,16069,"Nez Perce County, Idaho",31677,64.525,21.367,49.019,34.963,51.219,30.949,56.594,9.585,56.729,43.152,64.474,25.442,62.768,26.334,61.164,26.924,57.545,33.369,38.667,53.023,50.744,49.256,38.049,61.875,72.881,25.36,65.889,32.474,57.91,42.133,54.229,43.685,58.122,41.139,74.139,23.793,31.034,66.283,49.411,48.418,70.347,29.931,63.854,12.909,41.687,36.608,52.03,30.561,46.931,23.038,49.517,21.434,58.439,14.449,32.46,67.367,33.583,65.618,44.935,35.373
County,16071,"Oneida County, Idaho",3081,58.201,27.533,42.706,39.051,43.765,33.979,49.733,10.786,49.275,50.598,59.928,31.026,57.385,33.806,56.343,32.388,54.434,37.763,36.232,56.497,46.715,53.285,34.366,65.55,68.931,30.102,60.545,38.354,50.122,50.486,46.495,52.171,52.109,47.578,69.345,29.044,34.602,62.705,56.932,40.916,64.979,35.842,60.056,14.759,36.9,42.006,45.937,36.653,40.538,26.9,44.249,23.699,55.344,16.417,30.017,69.782,34.39,65.467,37.77,43.037
County,16073,"Owyhee County, Idaho",8533,62.446,23.153,47.635,35.655,46.175,29.85,53.902,9.415,55.317,44.482,63.562,26.282,60.619,29.237,60.643,27.262,59.411,31.724,42.173,49.719,51.803,48.197,37.798,61.91,70.438,28.183,62.57,35.694,56.393,43.978,52.583,45.805,54.417,45.053,69.787,28.237,32.328,64.883,52.693,44.798,70.124,30.42,62.034,14.311,41.149,37.79,50.288,32.234,44.931,23.867,48.872,21.573,58.413,15.109,31.022,68.728,32.46,67.117,44.492,36.611
County,16075,"Payette County, Idaho",17085,61.513,24.628,44.761,38.715,43.425,33.529,52.875,10.27,52.935,46.857,61.518,28.43,59.213,30.358,57.693,30.203,55.682,35.333,38.385,53.198,48.539,51.461,35.092,64.751,70.874,27.906,62.472,35.947,53.132,47.07,50.716,47.507,55.185,44.327,71.192,26.958,35.01,62.412,55.903,40.741,67.711,32.793,61.454,14.653,38.678,39.892,49.091,33.452,43.297,25.973,47.321,22.994,56.606,16.24,29.315,70.478,30.883,68.447,40.701,38.395
County,16077,"Power County, Idaho",5347,66.416,19.317,52.484,32.179,50.63,27.663,57.365,8.546,60.019,39.807,67.413,22.89,64.377,25.987,64.543,24.294,62.416,29.219,45.112,47.523,54.412,45.588,41.283,58.558,73.205,25.352,65.392,32.834,59.095,40.989,55.403,42.876,58.34,40.826,72.975,25.177,30.923,66.509,51.012,46.45,72.314,28.267,64.705,12.489,44.228,33.129,53.304,28.049,47.615,21.773,51.535,19.977,61.442,13.375,34.538,65.158,33.411,66.114,47.889,31.832
County,16079,"Shoshone County, Idaho",10056,63.584,22.714,47.457,36.066,48.449,30.261,55.656,9.191,55.384,44.501,63.844,25.685,61.094,29.192,59.959,28.536,58.742,32.91,40.363,52.232,52.03,47.97,38.077,61.741,73.275,25.601,64.781,33.685,58.689,41.601,53.443,44.879,58.147,41.466,72.602,25.716,31.976,65.397,52.91,44.868,70.61,29.96,63.674,13.205,41.887,35.759,51.222,30.672,44.788,23.489,48.92,21.214,59.228,14.227,31.807,68,34.456,65.041,42.786,38.002
County,16081,"Teton County, Idaho",8547,76.02,14.283,58.988,27.354,64.211,23.128,68.23,6.925,67.781,32.14,74.304,18.955,71.753,21.228,71.793,20.339,68.768,26.27,48.839,48.333,61.301,38.699,49.555,50.505,80.564,18.448,72.025,26.581,71.434,28.92,62.781,35.745,67.105,32.925,78.651,20.049,24.771,73.479,42.285,56,79.414,21.137,73.346,9.709,52.336,26.695,62.545,23.397,53.634,17.495,57.326,16.536,69.81,9.852,44.339,55.473,45.317,54.406,54.715,28.469
County,16083,"Twin Falls County, Idaho",61328,65.001,21.951,48.438,35.505,48.405,31.814,55.786,9.81,55.41,44.468,63.9,26.726,62.026,28.053,61.347,27.113,58.016,33.12,39.878,52.036,50.398,49.602,37.414,62.499,71.551,26.738,64.079,33.775,56.629,43.454,52.685,45.359,57.328,41.737,72.762,25.125,31.97,65.348,51.264,46.434,69.301,31.047,63.032,13.407,40.526,38.051,49.225,32.036,45.664,23.902,48.804,21.975,58.007,14.988,31.889,67.911,32.595,66.717,43.838,37.026
County,16085,"Valley County, Idaho",8891,67.571,20.126,49.841,34.922,52.025,30.492,59.838,8.839,58.58,41.352,66.139,25.665,63.95,27.044,63.108,26.368,59.862,32.713,40.561,53.223,53.46,46.54,40.566,59.469,76.684,22.345,67.431,31.173,62.039,38.002,56.396,41.777,61.765,38.369,76.033,22.514,31.637,66.278,51.57,46.465,73.053,27.458,66.68,12.181,43.572,34.016,53.964,29.422,47.225,22.512,51.453,20.373,61.782,13.272,34.757,65.122,36.557,62.636,44.885,35.674
County,16087,"Washington County, Idaho",7711,64.413,21.221,48.791,34.387,49.859,28.794,55.967,8.961,56.516,43.334,66.149,24.574,63.117,27.774,62.847,26.201,61.285,31.179,42.393,51.253,53.008,46.992,39.455,60.332,72.315,26.465,64.266,34.209,58.302,42.357,53.007,45.571,57.018,42.453,71.513,26.752,30.105,67.251,50.442,47.331,71.241,29.41,64.903,12.978,42.622,35.536,51.759,30.471,45.474,22.522,49.37,20.467,60.63,13.659,34.043,65.708,36.678,63.188,44.796,36.873
County,17001,"Adams County, Illinois",51166,63.956,20.696,50.369,35.786,49.069,29.139,56.502,9.411,54.368,45.565,64.498,24.326,63.364,24.253,58.883,27.435,55.793,34.833,37.519,53.21,49.647,50.353,35.796,63.897,72.482,25.513,67.875,30.18,54.331,45.416,56.559,42.686,58.563,39.798,74.134,23.701,33.75,65.185,54.119,44.461,70.211,29.906,64.051,13.296,43.088,34.825,52.878,26.994,50.61,21.161,49.397,19.279,57.184,14.731,29.494,70.223,31.208,68.318,46.502,30.347
County,17003,"Alexander County, Illinois",4803,66.614,15.611,49.416,37.082,45.749,25.426,60.027,7.385,58.006,41.929,66.626,20.634,64.973,21.084,62.023,22.347,60.314,27.69,43.416,44.95,55.521,44.478,40.335,59.224,75.7,22.579,70.843,26.71,60.494,38.401,64.911,33.853,61.843,36.875,76.136,21.726,35.115,64.126,57.685,40.049,75.271,24.861,67.588,11.779,48.877,26.346,57.516,21.523,54.715,17.703,56.016,15.699,61.522,12.788,27.524,72.18,24.685,74.384,49.28,24.955
County,17005,"Bond County, Illinois",13429,64.316,20.84,49.294,36.388,47.579,28.566,57.354,8.751,54.867,45.046,65.79,25.082,64.391,26.125,61.139,27.147,58.744,33.242,39.709,53.028,51.408,48.592,37.439,62.197,74.4,24.045,68.287,29.749,57.09,42.596,58.573,40.883,59.335,39.506,74.669,23.41,34.348,64.941,57,41.277,70.427,29.854,66.644,12.7,45.079,32.865,53.867,27.009,50.673,20.497,50.99,18.083,60.004,13.788,30.057,69.616,31.671,67.954,44.608,31.537
County,17007,"Boone County, Illinois",40027,68.736,16.235,55.177,31.944,50.881,26.346,61.566,7.942,60.562,39.355,69.241,20.949,68.287,21.138,64.566,23.354,61.633,29.359,42.77,49.081,55.824,44.176,40.145,59.477,76.846,21.166,72.141,25.524,63.51,35.702,64.264,34.643,63.666,34.721,77.117,20.341,32.37,66.898,52.96,45.175,74.533,25.521,69.299,11.524,49.289,29.15,58.837,22.875,55.117,18.209,54.828,16.792,62.657,12.545,31.635,68.048,30.559,68.67,51.878,24.424
County,17009,"Brown County, Illinois",5487,63.122,19.678,49.509,35.413,48.276,26.796,55.648,9.301,54.245,45.561,65.109,23.164,64.328,23.655,59.568,26.975,56.555,33.117,39.393,50.204,50.409,49.591,35.759,63.704,69.986,27.375,67.308,30.265,54.154,45.305,57.547,41.542,55.848,41.875,72.245,25.104,34.103,64.623,54.042,43.842,70.046,29.847,63.415,13.511,44.524,33.643,53.708,26.242,52.969,19.922,50.816,18.41,56.82,15.14,26.84,72.789,27.672,71.839,47.245,27.295
County,17011,"Bureau County, Illinois",26025,63.485,20.53,51.271,34.681,48.705,27.682,57.113,8.622,56.793,43.241,66.067,24.988,65.504,24.703,61.237,27.062,57.815,33.698,38.726,53.269,50.675,49.325,38.636,61.195,74.357,23.707,69.917,28.049,57.181,41.854,59.917,38.966,59.418,38.963,75.635,22.339,34.003,65.54,57.111,40.941,70.96,29.414,66.681,11.862,46.409,31.249,54.425,25.438,51.194,20.064,50.908,18.238,59.562,13.476,30.55,69.17,30.395,69.072,45.97,30.379
County,17013,"Calhoun County, Illinois",3821,60.438,23.99,45.715,39.473,41.971,32.177,53.53,9.756,50.393,49.527,62.097,28.41,60.862,29.132,56.394,31.165,54.396,37.148,36.122,55.939,47.581,52.419,33.647,66,72.639,26.029,66.399,31.722,53.595,45.974,56.07,43.361,57.121,41.93,73.213,24.943,38.08,61.276,61.63,36.68,67.258,33.056,63.309,14.139,41.516,36.062,50.112,29.506,46.691,23.293,47.702,20.055,56.766,15.605,26.861,72.827,29.174,70.316,39.983,35.213
County,17015,"Carroll County, Illinois",11661,64.132,21.154,47.707,38.575,44.454,31.06,56.84,9.105,53.345,46.615,63.838,27.244,62.677,26.468,59.265,28.451,56.236,35.536,37.662,54.705,50.373,49.627,35.78,63.913,75.135,23.546,68.583,29.459,57.583,41.781,59.054,40.197,60.272,38.84,75.279,22.953,37.035,62.509,60.009,38.311,69.987,30.281,65.844,13.185,43.567,33.225,52.343,27.034,48.813,21.848,50.007,19.01,58.703,14.509,28.372,71.346,29.918,69.409,42.236,33.49
County,17017,"Cass County, Illinois",9536,64.568,18.561,51.654,34.398,48.747,26.054,58.073,8.605,57.288,42.6,66.542,22.028,65.554,22.347,61.159,25.17,58.567,31.173,40.745,49.328,52.484,47.516,37.303,62.207,72.165,24.728,69.166,27.99,57.821,41.604,60.824,38.041,58.519,38.769,74.202,22.867,32.751,66.094,52.75,44.162,72.077,27.931,66.029,12.525,46.422,31.389,54.986,24.576,53.421,19.177,52.097,17.882,59.642,13.748,28.915,70.758,28.815,70.564,48.558,27.708
County,17019,"Champaign County, Illinois",170340,77.64,10.644,62.977,25.494,63.701,20.181,71.406,6.122,69.86,30.097,75.446,16.758,74.1,17.373,72.011,18.661,68.986,24.378,49.871,45.218,64.183,35.817,50.032,49.758,82.554,15.853,77.362,20.703,72.745,26.777,70.998,28.126,68.921,30.246,81.83,16.481,25.791,73.743,44.135,54.596,81.094,19.024,75.179,9.296,58.312,21.565,66.421,17.701,60.56,14.198,60.572,13.465,70.31,9.452,41.325,58.326,37.597,61.849,57.723,19.714
County,17021,"Christian County, Illinois",26186,52.974,25.643,42.847,39.998,40.615,29.137,47.733,9.295,50.079,50.199,60.67,30.011,60.462,29.552,56.578,30.604,53.35,37.397,34.934,55.921,45.407,54.593,37.289,62.872,68.709,29.877,64.924,33.676,44.503,54.134,49.858,49.29,51,47.254,72.268,26.158,38.89,60.833,63.917,33.893,62.804,38.546,63.646,12.298,41.279,34.434,47.398,30.77,43.364,23.605,44.203,20.522,54.821,15.028,28.363,71.402,28.979,71.049,37.932,37.568
County,17023,"Clark County, Illinois",12092,60.801,22.984,46.545,37.786,44.147,30.81,54.062,9.587,51.296,48.649,63.617,27.257,62.492,27.959,57.314,30.205,55.584,36.395,36.502,56.092,48.213,51.787,34.549,65.129,72.879,25.687,66.917,31.243,54.368,45.302,56.299,43.073,56.787,42.291,73.568,24.602,36.385,63.037,60.287,38.103,67.266,33.061,64.371,13.632,42.008,36.234,50.502,29.968,47.373,22.862,47.872,19.934,57.281,15.085,28.177,71.535,30.955,68.656,40.88,33.917
County,17025,"Clay County, Illinois",10270,57.462,26.74,43.503,41.176,40.095,33.713,50.576,10.565,47.886,52.035,59.834,30.707,58.767,31.345,54.184,33.424,52.188,39.234,34.419,57.12,45.406,54.594,31.723,67.911,69.905,28.656,64.086,34.067,50.088,49.567,53.195,46.196,54.245,44.741,71.238,26.778,38.945,60.201,62.655,35.684,64.949,35.336,60.664,15.391,38.969,39.465,47.469,32.401,45.138,24.961,45.687,21.515,54.121,17.115,25.882,73.802,28.241,71.296,38.145,37.54
County,17027,"Clinton County, Illinois",29659,63.197,21.614,47.517,37.236,46.395,30.453,55.619,9.777,52.885,47.02,64.529,25.289,63.893,25.438,58.339,29.569,55.217,36.053,37.131,54.284,49.666,50.334,34.868,64.816,72.679,25.363,66.843,31.204,54.611,44.956,56.905,42.227,56.943,41.646,74.188,23.663,35.401,63.604,56.465,41.931,68.916,31.2,64.983,13.452,44.054,35.17,54.047,27.761,50.036,21.898,48.694,19.669,57.413,15.192,28.252,71.466,30.256,69.247,42.753,30.531
County,17029,"Coles County, Illinois",42096,67.038,19.163,50.931,35.184,49.658,28.076,60.024,8.356,56.885,43.05,67.566,23.844,66.11,24.816,62.296,26.685,59.886,32.916,40.623,53.057,53.08,46.92,38.979,60.72,76.513,22.183,69.937,28.178,60.66,38.994,60.905,38.531,61.763,37.463,76.019,22.266,33.691,65.815,56.592,41.831,72.613,27.729,68.11,12.194,46.766,30.926,55.897,25.362,51.281,19.991,52.203,17.597,62.269,13.049,31.949,67.738,33.27,66.303,45.725,30.497
County,17031,"Cook County, Illinois",4053168,79.747,8.942,66.586,22.351,63.695,16.952,73.181,4.832,73.359,26.47,81.358,10.367,78.888,11.687,77.073,13.573,74.816,17.663,57.196,35.988,68.002,31.998,52.331,47.263,83.825,14.729,80.596,17.551,78.212,21.536,74.911,23.791,70.396,29.245,83.259,15.185,23.291,76.23,42.675,56.259,84.375,15.821,78.077,7.543,62.799,17.8,69.615,14.018,67.24,10.433,66.175,10.98,72.364,7.444,42.042,57.807,37.201,62.252,65.61,14.275
County,17033,"Crawford County, Illinois",15211,58.719,23.226,46.072,37.981,44.226,29.435,52.119,9.605,51.95,48.059,62.701,27.104,62.262,27.022,57.669,29.628,54.463,36.184,36.534,54.141,47.554,52.446,35.63,64.154,70.143,27.845,66.121,31.936,50.118,49.025,53.914,45.209,54.372,43.798,72.7,25.148,36.559,62.605,59.117,38.848,66.448,34.039,63.344,13.248,42.204,35.23,50.299,29.117,47.922,22.411,47.476,19.936,55.802,15.396,27.808,71.901,28.469,71.191,41.892,33.033
County,17035,"Cumberland County, Illinois",8355,58.332,24.903,44.733,40.093,41.87,32.882,51.57,10.302,49.039,50.899,60.797,30.072,59.921,30.412,55.103,32.916,52.72,38.997,34.7,57.108,45.981,54.02,32.517,67.146,71.066,27.285,65.071,33.072,50.549,49.103,54.282,44.988,54.834,44.01,72.536,25.445,38.284,60.737,61.38,36.937,66.065,34.21,61.483,14.474,39.908,37.886,48.372,30.633,46.683,23.98,46.273,20.946,54.77,16.346,26.351,73.371,29.144,70.398,39.169,35.199
County,17037,"DeKalb County, Illinois",81843,72.093,14.378,56.536,31.048,57.6,24.248,64.705,7.425,63.29,36.676,71.011,19.568,69.503,20.609,66.903,22.537,63.335,28.172,43.525,49.563,57.938,42.062,43.014,56.731,79.464,18.691,73.523,24.395,66.074,32.463,65.716,33.268,65.549,33.23,79.504,18.542,30.129,69.3,51.752,46.636,75.643,24.366,70.419,10.871,50.333,27.009,59.606,20.257,56.812,17.332,56.776,15.917,65.189,11.505,34.939,64.761,32.901,66.273,52.828,23.377
County,17039,"De Witt County, Illinois",12490,61.009,23.49,46.498,38.919,42.545,32.422,54.302,9.806,51.532,48.404,62.543,28.145,61.808,28.154,57.153,30.591,54.321,37.055,36.068,55.684,47.157,52.843,34.288,65.464,72.85,25.657,66.798,31.302,53.388,45.941,56.175,43.012,57.486,41.385,73.998,24.113,37.804,61.736,60.37,37.962,67.508,32.808,63.847,13.816,41.848,35.917,49.718,29.279,47.539,23.264,48.019,20.201,56.752,15.619,27.169,72.561,28.948,70.454,41.089,34.292
